decade,state,Biological,Chemical,Coastal Storm,Dam/Levee Break,Drought,Earthquake,Fire,Fishing Losses,Flood,Freezing,Human Cause,Hurricane,Mud/Landslide,Other,Severe Ice Storm,Severe Storm,Snowstorm,Terrorist,Tornado,Toxic Substances,Tropical Storm,Tsunami,Typhoon,Volcanic Eruption,Winter Storm,Total
1980's,HI,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6
1980's,IA,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,10
1980's,ID,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,12
1980's,IL,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,41,0,0,7,0,0,0,0,0,0,82
1980's,IN,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6
1980's,KS,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,19
1980's,KY,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,28,0,0,0,1,0,0,0,0,0,109
1980's,LA,0,0,0,0,0,0,0,0,100,0,0,14,0,0,0,0,0,0,20,0,0,0,0,0,0,134
1980's,MA,0,0,0,0,0,0,1,0,8,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,22
1980's,MD,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
1980's,ME,0,0,0,0,0,0,0,8,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
1980's,MI,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,65
1980's,MN,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,18
1980's,MO,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,59
1980's,MS,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,40,0,0,9,0,0,0,0,0,0,54
1980's,MT,0,0,0,0,0,0,3,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36
1980's,NC,0,0,0,0,0,0,1,0,0,0,0,35,0,0,0,0,0,0,36,0,0,0,0,0,0,72
1980's,ND,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
1980's,NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,28
1980's,NH,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
1980's,NJ,0,0,0,0,21,0,0,0,8,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,33
1980's,NM,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
1980's,NV,0,0,0,0,0,0,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
1980's,NY,0,0,0,0,0,0,0,0,22,0,0,2,0,0,0,0,11,0,0,1,0,0,0,0,0,36
1980's,OH,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,4,0,0,6,0,0,0,0,0,0,39
1980's,OK,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,103
1980's,OR,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
1980's,PA,0,0,0,0,0,0,0,0,22,0,0,6,0,0,0,0,0,0,15,0,0,0,0,0,0,43
1980's,RI,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1980's,SC,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,7,0,0,0,0,0,0,31
1980's,SD,0,0,0,0,0,0,4,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
1980's,TN,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
1980's,TX,0,0,0,0,0,0,1,0,35,6,0,24,0,0,0,87,0,0,15,0,0,0,0,0,0,168
1980's,UT,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39
1980's,VA,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55
1980's,VT,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
1980's,WA,0,0,0,0,0,0,2,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,68
1980's,WI,0,0,0,0,0,0,1,0,17,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,20
1980's,WV,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48
1980's,WY,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
1990's,AK,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,15
1990's,AL,0,0,0,0,0,0,7,0,12,0,0,64,0,0,0,142,67,0,2,0,0,0,0,0,0,294
1990's,AR,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,58,17,0,1,0,0,0,0,0,0,162
1990's,AZ,0,0,0,0,0,0,17,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38
1990's,CA,0,0,0,0,0,18,28,4,32,41,0,0,0,0,0,188,0,0,0,0,0,0,0,0,0,311
1990's,CO,0,0,0,0,0,0,5,0,13,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,30
1990's,CT,0,0,0,0,0,0,0,0,3,0,0,9,0,0,0,0,16,0,0,0,0,0,0,0,0,28
1990's,DE,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,3,6,0,0,0,0,0,0,0,0,13
1990's,FL,0,0,0,0,0,0,179,0,32,32,0,107,0,0,0,97,0,0,38,0,0,0,0,0,0,485
1990's,GA,0,0,0,0,0,0,0,0,24,0,0,56,0,0,0,173,93,0,89,0,0,0,0,0,0,435
1990's,HI,0,0,0,0,0,0,3,0,1,0,0,6,0,0,0,1,0,0,0,0,0,0,0,1,0,12
1990's,IA,0,0,0,0,0,0,0,0,278,0,0,0,0,0,44,69,13,0,0,0,0,0,0,0,0,404
1990's,ID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,40
1990's,IL,0,0,0,0,0,0,0,0,40,0,0,0,0,0,10,103,52,0,3,0,0,0,0,0,0,208
1990's,IN,0,0,0,0,0,0,0,0,136,0,0,0,0,0,26,127,57,0,0,0,0,0,0,0,0,346
1990's,KS,0,0,0,0,0,0,0,0,57,0,0,0,0,2,0,32,0,0,9,0,0,0,0,0,0,100
1990's,KY,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,166,261,0,32,0,0,0,0,0,0,489
1990's,LA,0,0,0,0,0,0,0,0,27,0,0,58,0,0,0,84,0,0,0,0,0,0,0,0,0,169
1990's,MA,0,0,16,0,0,0,1,0,17,0,0,11,0,0,0,0,28,0,0,0,0,0,0,0,0,73
1990's,MD,0,0,0,0,0,0,0,0,6,0,0,14,0,0,0,0,57,0,0,0,0,0,0,0,0,77
1990's,ME,0,0,5,0,0,0,1,0,26,0,0,9,0,0,0,38,17,0,0,0,0,0,0,0,0,96
1990's,MI,0,0,0,0,0,0,1,0,0,10,0,0,0,0,0,27,31,0,0,0,0,0,0,0,0,69
1990's,MN,0,0,0,0,0,0,0,0,85,0,0,0,0,0,19,165,4,0,26,0,0,0,0,0,0,299
1990's,MO,0,0,0,0,0,0,0,0,123,0,0,0,0,0,0,132,0,0,0,0,0,0,0,0,0,255
1990's,MS,0,0,0,0,0,0,0,0,22,0,0,35,0,0,34,119,0,0,26,0,0,0,0,0,0,236
1990's,MT,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,47
1990's,NC,0,0,0,0,0,0,0,0,15,0,0,255,0,0,0,17,163,0,0,0,0,0,0,0,0,450
1990's,ND,0,0,0,0,0,0,0,0,154,0,0,0,0,0,0,143,0,0,0,0,0,0,0,0,0,297
1990's,NE,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,69,15,0,0,0,0,0,0,0,0,164
1990's,NH,0,0,1,0,0,0,0,0,20,0,0,4,0,0,0,16,10,0,0,0,0,0,0,0,0,51
1990's,NJ,0,0,3,0,0,0,0,0,12,0,0,30,0,0,0,11,42,0,0,0,0,0,0,0,0,98
1990's,NM,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,26
1990's,NV,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,18
1990's,NY,0,0,0,0,0,0,2,0,46,0,1,20,0,0,0,48,120,0,0,0,0,0,0,0,0,237
1990's,OH,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,130
1990's,OK,0,0,0,0,0,0,17,0,0,0,2,0,0,0,0,101,0,0,58,0,0,0,0,0,0,178
1990's,OR,0,0,0,0,0,5,8,8,34,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,79
1990's,PA,0,0,0,0,0,0,0,0,94,0,0,8,0,0,0,53,118,0,0,0,0,0,0,0,0,273
1990's,RI,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,10,0,0,2,0,0,0,0,0,19
1990's,SC,0,0,0,0,0,0,0,0,18,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,73
1990's,SD,0,0,0,0,0,0,2,0,128,0,0,0,0,0,0,145,47,0,2,0,0,0,0,0,0,324
1990's,TN,0,0,0,0,0,0,3,0,51,0,0,0,0,0,0,236,57,0,34,0,0,0,0,0,0,381
1990's,TX,0,0,0,0,149,0,376,0,170,10,0,13,0,0,0,361,0,0,8,0,0,0,0,0,0,1087
1990's,UT,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3
1990's,VA,0,0,0,0,0,0,0,0,56,0,0,161,0,0,0,58,344,0,0,0,0,0,0,0,0,619
1990's,VT,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,54
1990's,WA,0,0,0,0,0,0,19,6,74,0,0,0,1,0,3,66,0,0,0,0,0,0,0,0,0,169
1990's,WI,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,92,0,0,2,0,0,0,0,0,0,117
1990's,WV,0,0,0,0,0,0,10,0,61,0,0,0,0,0,0,34,110,0,0,0,0,0,0,0,0,215
1990's,WY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
2000's,AK,0,0,0,0,0,6,12,0,21,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,81
2000's,AL,0,0,0,0,0,0,4,0,0,0,0,279,0,0,0,149,0,0,0,0,0,0,0,0,0,432
2000's,AR,0,0,0,0,0,0,0,0,0,0,0,93,0,0,185,271,0,0,5,0,0,0,0,0,0,554
2000's,AZ,0,0,0,0,0,0,35,0,0,0,0,15,0,0,0,41,0,0,0,0,0,0,0,0,0,91
2000's,CA,0,0,0,1,0,3,157,0,0,16,0,58,0,0,0,63,0,0,0,0,0,0,0,0,0,298
2000's,CO,0,0,64,0,0,0,102,0,0,0,0,0,0,0,0,16,55,0,0,0,0,0,0,0,0,237
2000's,CT,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,12,28,0,0,0,0,0,0,0,0,48
2000's,DE,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,2,3,0,0,0,0,0,0,0,0,12
2000's,FL,0,0,11,0,0,0,84,0,0,49,0,409,0,0,0,178,0,0,0,0,0,0,0,0,0,731
2000's,GA,0,0,0,0,0,0,7,0,0,0,0,270,0,0,0,164,0,0,0,0,0,0,0,0,0,441
2000's,HI,0,0,0,0,0,4,13,0,2,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,27
2000's,IA,0,0,0,0,0,0,0,0,21,0,0,99,0,0,30,270,30,0,0,0,0,0,0,0,0,450
2000's,ID,0,0,0,0,0,0,20,0,4,0,0,44,0,0,0,1,0,0,0,0,0,0,0,0,0,69
2000's,IL,0,0,0,0,0,0,0,0,10,0,0,102,0,0,18,97,77,0,68,0,0,0,0,0,0,372
2000's,IN,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,456,128,0,2,0,0,0,0,0,0,678
2000's,KS,0,0,0,0,0,0,1,0,0,0,0,105,0,0,35,518,0,0,0,0,0,0,0,0,0,659
2000's,KY,0,0,0,0,0,0,36,0,0,0,0,120,0,0,203,446,30,0,11,0,0,0,0,0,0,846
2000's,LA,0,0,27,0,0,0,11,0,0,0,0,505,0,41,8,41,8,0,0,0,0,0,0,0,0,641
2000's,MA,0,0,0,0,0,0,1,0,5,0,0,14,0,0,7,39,47,0,0,0,0,0,0,0,0,113
2000's,MD,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,38,0,0,3,0,0,0,0,0,0,89
2000's,ME,0,0,0,0,0,0,0,0,11,11,0,20,0,0,0,74,60,0,0,0,0,0,0,0,0,176
2000's,MI,0,0,0,0,0,0,0,0,6,0,0,83,0,14,0,40,39,0,0,0,0,0,0,0,0,182
2000's,MN,0,0,0,0,0,0,6,0,81,0,0,87,0,1,0,104,0,0,0,0,0,0,0,0,0,279
2000's,MO,0,0,0,0,0,0,1,0,10,0,0,115,0,0,373,574,0,0,0,0,0,0,0,0,0,1073
2000's,MS,0,0,0,0,0,0,0,0,0,0,0,294,0,0,0,146,0,0,0,0,0,0,0,0,0,440
2000's,MT,0,0,0,0,0,0,93,0,0,0,0,56,0,0,0,22,0,0,0,0,0,0,0,0,0,171
2000's,NC,0,0,0,0,0,0,3,0,0,0,0,260,0,0,54,37,0,0,0,0,0,0,0,0,0,354
2000's,ND,0,0,53,0,0,0,1,0,38,0,0,0,0,0,0,185,31,0,9,0,0,0,0,0,0,317
2000's,NE,0,0,0,0,0,0,3,0,0,0,0,93,0,0,8,314,0,0,0,0,0,0,0,0,0,418
2000's,NH,0,0,0,0,0,0,0,0,0,0,0,13,0,0,10,46,39,0,0,0,0,0,0,0,0,108
2000's,NJ,0,0,0,0,0,0,24,0,0,0,0,21,0,26,0,36,21,0,0,0,0,0,0,0,0,128
2000's,NM,0,0,0,0,0,0,88,0,0,0,0,33,0,0,0,28,0,0,0,0,0,0,0,0,0,149
2000's,NV,0,0,0,0,0,0,39,0,0,0,0,17,0,0,0,11,31,0,0,0,0,0,0,0,0,98
2000's,NY,0,0,0,0,0,6,62,0,0,0,0,62,0,126,16,239,63,0,0,0,0,0,0,0,0,574
